HPop,IPop,UPop
0.3594787796915456,0.6182258246088034,0.3584205786333446
0.37415254521782004,0.5886925327900366,0.3719562275167178
0.41712842776677617,0.5757592500409622,0.4146976739285152
0.3724300314391229,0.5606249437568207,0.3638698958146288
0.38788375378944884,0.5473082653551581,0.38354762524322306
0.3604522469254666,0.53199587969732,0.3560152658719261
0.3775803211209123,0.5265545520556063,0.3724286273188605
0.39717124352066524,0.5276683035634949,0.3906985885641955
0.3901683793470526,0.5094527460725431,0.385707501247036
0.4059688151559454,0.5149539655034817,0.4013221477458864
0.40010544278530275,0.5028490812173405,0.39470051814314877
0.4228455553558558,0.4898179059007018,0.4192966418800754
0.39974589918170145,0.46769259462021184,0.397267389123344
0.3792377330348408,0.46428405866032635,0.37632846247136126
0.4372797361494792,0.4865185034086691,0.4356586425198551
