HPop,IPop,UPop
0.0008235520687627966,0.8325838878708813,0.0008235520687627966
0.0009671343018972687,1.5529045972408733,0.0009671343018972687
0.002086707165521688,2.2386559801165014,0.002086707165521688
0.00223028939865616,3.216693778053737,0.00223028939865616
0.00407820206816383,3.658195134529046,0.00407820206816383
0.007761279775865787,4.449108647344572,0.007761279775865787
0.010422109029062916,5.194725523030257,0.010422109029062916
0.014125463141226164,5.847151762079887,0.014125463141226164
0.01876996316553279,6.426142603139648,0.01876996316553279
0.022926855620297584,7.169962642073746,0.022926855620297584
0.023993585123885015,7.574649028478726,0.023993585123885015
0.027058603503439516,8.32326237669856,0.027058603503439516
0.028700477895309308,8.940617466342056,0.028700477895309308
0.02908177889431792,9.767865600030877,0.02908177889431792
0.029225361127452394,10.373284341413136,0.029225361127452394
