HPop,IPop,UPop
0.40901560476870313,0.512275672043053,0.40901560476870313
0.3898192488867829,0.5056131357504164,0.3898164621828089
0.3929327766283243,0.5129764071519717,0.39291375560775244
0.41682865592908713,0.49333825059695746,0.4164694675302198
0.39328774145603207,0.504408630410586,0.3929285530571647
0.4070842809477405,0.5116287800713593,0.40669192841869795
0.405766893602517,0.5125215610797655,0.4048490972392287
0.4156991775103318,0.5082727671572703,0.4143199748649592
0.39923841746371597,0.5134262352771545,0.3976880473804232
0.3970088603500711,0.5022515208494285,0.39181051634121866
0.4926214640709648,0.4926214640709648,0.39705609567661687
