HPop,IPop,UPop
5.113180339611676,6.596418814925417,5.113180339611676
4.87567925024616,6.303574067589624,4.87567925024616
4.912014539932903,6.576488852595633,4.912014539932903
5.199643396010467,5.856422527204471,5.190328753284925
4.919045214301018,6.210574894123302,4.909730571575476
5.045387481130801,6.488874748709709,5.044094729585073
5.127923757923428,6.620066165954791,5.116432722159297
5.231437052568106,6.394419405598377,5.202454180676964
5.166751600207164,6.7810431373253355,5.133025666118204
4.846548540593788,6.069620940274701,4.739838540675488
5.651109879473639,5.651109879473639,4.639183188442414
