HPop,IPop,UPop
41.667285826860294,48.65062478892266,41.667285826860294
39.81740403016999,47.75869638635596,39.81740403016999
39.85021952043228,48.68535404705617,39.85021952043228
42.21152763705955,46.033828661488236,42.158617584149496
39.93262411347518,47.6457840819543,39.87971406056512
41.00928740290443,48.493470674321735,40.97754137115839
41.17235168298998,48.62991106608128,41.066081278847236
42.17252054486097,48.133682314533374,41.992063492063494
40.36896318811212,48.68698637847574,40.20961386918834
40.15698525272994,47.27192389958347,39.59518180794776
46.17139479905437,46.17139479905437,40.27006641900259
